m	oa	l50	sr
70	10	12.86	0.69
70	15	18.12	1.1
70	20	23.09	1.26
70	25	27.51	1.26
70	30	32.04	1.48
70	35	35.41	1.6
70	40	39.26	1.82
70	45	41.89	1.98
70	50	44.33	1.94
70	55	47.14	2.34
70	60	49.29	1.76
70	65	50.85	1.94
70	70	52.33	2.17
70	75	53.71	2.46
70	80	54.18	2.26
70	85	55.04	2.77
70	90	54.93	2.79
80	10	14.33	0.62
80	15	20.44	1.22
80	20	25.86	1.17
80	25	31.28	1.83
80	30	35.85	1.77
80	35	40.45	1.73
80	40	43.7	1.93
80	45	47.79	2.44
80	50	50.35	2.1
80	55	52.69	2.18
80	60	55.71	2.15
80	65	57.48	2.13
80	70	59.22	2.52
80	75	60.75	2.73
80	80	61.83	2.86
80	85	62.32	2.76
80	90	62.33	2.88
90	10	15.91	0.89
90	15	22.62	1.38
90	20	28.79	1.17
90	25	34.63	1.86
90	30	40.17	1.64
90	35	44.37	2.04
90	40	49.25	2.08
90	45	52.62	2.11
90	50	56.06	2.61
90	55	58.49	2.51
90	60	61.76	2.8
90	65	64.41	2.12
90	70	66.22	2.12
90	75	67.78	2.85
90	80	68.92	3.03
90	85	69.5	3.31
90	90	69.65	3.51
100	10	17.48	0.91
100	15	25.03	0.84
100	20	31.95	1.6
100	25	37.89	1.83
100	30	43.51	2.03
100	35	49.36	2.16
100	40	53.63	2.19
100	45	57.78	2.5
100	50	61.69	2.86
100	55	64.56	2.38
100	60	67.98	2.93
100	65	70.82	3.05
100	70	73.21	3.37
100	75	75	4
100	80	75	4
100	85	75	4
100	90	75	4
110	10	18.93	1.13
110	15	26.92	1.26
110	20	34.55	1.8
110	25	41.41	2
110	30	48.05	2.41
110	35	53.01	2.06
110	40	58.23	2.45
110	45	63.31	2.49
110	50	67.2	3.37
110	55	70.77	3.5
110	60	74.21	4
110	65	75	4
110	70	75	4
110	75	75	4
110	80	75	4
110	85	75	4
110	90	75	4
120	10	20.57	1.22
120	15	29.33	1.58
120	20	37.51	2.03
120	25	44.49	2.12
120	30	51.66	1.99
120	35	57.62	2.72
120	40	63.38	2.57
120	45	68.41	3.3
120	50	72.53	4
120	55	75	4
120	60	75	4
120	65	75	4
120	70	75	4
120	75	75	4
120	80	75	4
120	85	75	4
120	90	75	4
130	10	22.03	1.29
130	15	31.78	1.67
130	20	40.38	1.73
130	25	48.49	2.43
130	30	55.72	2.75
130	35	62.29	2.65
130	40	68.25	3.32
130	45	74.34	4
130	50	75	4
130	55	75	4
130	60	75	4
130	65	75	4
130	70	75	4
130	75	75	4
130	80	75	4
130	85	75	4
130	90	75	4
140	10	23.74	1.45
140	15	33.84	1.84
140	20	42.63	2.17
140	25	51.49	2.03
140	30	59.27	2.91
140	35	66.73	3.23
140	40	73.57	4
140	45	80	4
140	50	80	4
140	55	80	4
140	60	80	4
140	65	80	4
140	70	80	4
140	75	80	4
140	80	80	4
140	85	80	4
140	90	80	4
150	10	25.24	0.8
150	15	35.93	1.97
150	20	45.61	2.69
150	25	55.23	2.73
150	30	63.14	2.75
150	35	70.64	4
150	40	77.61	4
150	45	85	4
150	50	85	4
150	55	85	4
150	60	85	4
150	65	85	4
150	70	85	4
150	75	85	4
150	80	85	4
150	85	85	4
150	90	85	4
160	10	26.52	1.12
160	15	37.93	1.96
160	20	48.7	2.37
160	25	57.92	2.83
160	30	67.23	3.04
160	35	76.54	4
160	40	85	4
160	45	85	2
160	50	85	2
160	55	85	2
160	60	85	2
160	65	85	2
160	70	85	2
160	75	85	2
160	80	85	2
160	85	85	2
160	90	85	2
170	10	28.02	1.39
170	15	40.34	1.79
170	20	51.28	2.07
170	25	61.34	2.96
170	30	71.02	3.5
170	35	80.97	4
170	40	85	4
170	45	85	2
170	50	85	2
170	55	85	2
170	60	85	2
170	65	85	2
170	70	85	2
170	75	85	2
170	80	85	2
170	85	85	2
170	90	85	2
180	10	29.78	1.8
180	15	42.03	2.21
180	20	53.78	2.64
180	25	64.59	3.01
180	30	75.33	3.5
180	35	85.12	4
180	40	85	2
180	45	85	2
180	50	85	2
180	55	85	2
180	60	85	2
180	65	85	2
180	70	85	2
180	75	85	2
180	80	85	2
180	85	85	2
180	90	85	2
190	10	31.4	1.93
190	15	43.98	2.24
190	20	56.52	2.63
190	25	67.98	3.36
190	30	78.21	3.96
190	35	85	2
190	40	85	2
190	45	85	2
190	50	85	2
190	55	85	2
190	60	85	2
190	65	85	2
190	70	85	2
190	75	85	2
190	80	85	2
190	85	85	2
190	90	85	2
200	10	32.79	1.49
200	15	46.47	2.8
200	20	59.12	3.18
200	25	71.39	3.88
200	30	81.11	4
200	35	85	2
200	40	85	2
200	45	85	2
200	50	85	2
200	55	85	2
200	60	85	2
200	65	85	2
200	70	85	2
200	75	85	2
200	80	85	2
200	85	85	2
200	90	85	2
